symbol,timeframe,strategy_name,n_total,n_failed,n_overfit,n_robust,mean_is_pf,mean_oos_pf,mean_oos_dd,median_trades
APTUSDT,1d,ema_crossover,0,0,0,0,,,,
APTUSDT,1d,macd_crossover,0,0,0,0,,,,
APTUSDT,4h,rsi_divergence,0,0,0,0,,,,
APTUSDT,1d,rsi_ob_os,0,0,0,0,,,,
APTUSDT,1d,stochastic,0,0,0,0,,,,
APTUSDT,1d,atr_breakout,0,0,0,0,,,,
APTUSDT,1d,bollinger_bounce,0,0,0,0,,,,
APTUSDT,1d,price_channel,0,0,0,0,,,,
APTUSDT,1d,volume_spike,0,0,0,0,,,,
APTUSDT,1d,golden_cross,0,0,0,0,,,,
APTUSDT,1d,rsi_divergence,0,0,0,0,,,,
APTUSDT,1d,bullish_engulfing,0,0,0,0,,,,
APTUSDT,1d,bearish_engulfing,0,0,0,0,,,,
ATOMUSDT,5m,rsi_ob_os,0,0,0,0,,,,
ATOMUSDT,5m,stochastic,0,0,0,0,,,,
ATOMUSDT,5m,ema_crossover,0,0,0,0,,,,
ATOMUSDT,5m,macd_crossover,0,0,0,0,,,,
ATOMUSDT,5m,bollinger_bounce,0,0,0,0,,,,
ATOMUSDT,5m,price_channel,0,0,0,0,,,,
ATOMUSDT,5m,atr_breakout,0,0,0,0,,,,
ATOMUSDT,5m,golden_cross,0,0,0,0,,,,
ATOMUSDT,5m,volume_spike,0,0,0,0,,,,
ATOMUSDT,5m,bullish_engulfing,0,0,0,0,,,,
ATOMUSDT,5m,rsi_divergence,0,0,0,0,,,,
ATOMUSDT,5m,bearish_engulfing,0,0,0,0,,,,
ATOMUSDT,15m,ema_crossover,0,0,0,0,,,,
ATOMUSDT,15m,rsi_ob_os,0,0,0,0,,,,
ATOMUSDT,15m,stochastic,0,0,0,0,,,,
ATOMUSDT,15m,macd_crossover,0,0,0,0,,,,
ATOMUSDT,15m,bollinger_bounce,0,0,0,0,,,,
ATOMUSDT,15m,atr_breakout,0,0,0,0,,,,
ATOMUSDT,15m,price_channel,0,0,0,0,,,,
ATOMUSDT,15m,volume_spike,0,0,0,0,,,,
ATOMUSDT,15m,golden_cross,0,0,0,0,,,,
ATOMUSDT,15m,rsi_divergence,0,0,0,0,,,,
ATOMUSDT,15m,bullish_engulfing,0,0,0,0,,,,
ATOMUSDT,15m,bearish_engulfing,0,0,0,0,,,,
ATOMUSDT,30m,ema_crossover,0,0,0,0,,,,
ATOMUSDT,30m,macd_crossover,0,0,0,0,,,,
ATOMUSDT,30m,rsi_ob_os,0,0,0,0,,,,
ATOMUSDT,30m,stochastic,0,0,0,0,,,,
ATOMUSDT,30m,atr_breakout,0,0,0,0,,,,
ATOMUSDT,30m,bollinger_bounce,0,0,0,0,,,,
ATOMUSDT,30m,price_channel,0,0,0,0,,,,
ATOMUSDT,30m,volume_spike,0,0,0,0,,,,
ATOMUSDT,30m,golden_cross,0,0,0,0,,,,
ATOMUSDT,30m,rsi_divergence,0,0,0,0,,,,
ATOMUSDT,30m,bullish_engulfing,0,0,0,0,,,,
ATOMUSDT,30m,bearish_engulfing,0,0,0,0,,,,
ATOMUSDT,1h,ema_crossover,0,0,0,0,,,,
ATOMUSDT,1h,macd_crossover,0,0,0,0,,,,
ATOMUSDT,1h,rsi_ob_os,0,0,0,0,,,,
ATOMUSDT,1h,stochastic,0,0,0,0,,,,
ATOMUSDT,1h,atr_breakout,0,0,0,0,,,,
